Name,X,Y,K_min,K_max,K_avg,Group,Kd_min,Kd_max,Kd_avg,PseudoPP,Calib
B18,3496850,5372650,0.0000322,0.000066,0.000046,1,2.78208,5.7024,3.9744,0,6.855148666
B19,3496850,5372900,0.0000567,0.000093,0.000081,1,4.89888,8.0352,6.9984,0,6.855148666
P_B19,3496359,5372354,0.0000567,0.000093,0.000081,1,4.89888,8.0352,6.9984,1,6.855148666
B6,3500210,5373690,0.000168,0.00032,0.00024,2,14.5152,27.648,20.736,0,20.69723259
B21,3497360,5373090,0.000147,0.00033,0.00021,2,12.7008,28.512,18.144,0,20.69723259
ASG A1,3497870,5372870,0.000175,0.00029,0.000225,20,15.12,25.056,21.6,0,18.91584631
B4,3498900,5373530,0.000182,0.00033,0.00026,2,15.7248,28.512,22.464,0,20.69723259
B27,3500890,5372570,0.000455,0.00077,0.00065,3,39.312,66.528,56.16,0,70.10541235
B28,3501290,5372920,0.00049,0.00077,0.0007,3,42.336,66.528,60.48,0,70.10541235
P_B1,3498386,5373849,0.000434,0.00068,0.00062,3,37.4976,58.752,53.568,1,70.10541235
B1,3498950,5373800,0.000434,0.00068,0.00062,4,37.4976,58.752,53.568,0,58.55696259
B33,3498550,5372290,0.000357,0.00063,0.00051,4,30.8448,54.432,44.064,0,58.55696259
SG32,3498550,5371760,0.000308,0.00067,0.00044,4,26.6112,57.888,38.016,0,58.55696259
B5,3499480,5372770,0.00034,0.00056,0.00047,4,29.376,48.384,40.608,0,58.55696259
7420-591,3507770,5377086,0.0021,0.0045,0.0035,5,181.44,388.8,259.2,0,336.9720536
B-Wells,3508703,5377758,0.002212,0.00474,0.00316,5,191.1168,409.536,273.024,0,336.9720536
P_B17,3497755,5371959,0.00245,0.0037,0.0035,5,211.68,319.68,302.4,1,336.9720536
P_B17_2,3497537,5372572,0.00245,0.0037,0.0035,5,211.68,319.68,302.4,1,336.9720536
P_Kfurt,3509873,5377351,0.002212,0.00474,0.00316,5,191.1168,409.536,273.024,1,336.9720536
B10,3502830,5373420,0.00154,0.0035,0.0022,6,133.056,302.4,190.08,0,214.8628677
B25,3499840,5372120,0.00147,0.003,0.0021,6,127.008,259.2,181.44,0,214.8628677
B29,3499490,5373260,0.00161,0.0024,0.0023,6,139.104,207.36,198.72,0,214.8628677
B9,3503210,5373880,0.00189,0.0029,0.0027,6,163.296,250.56,233.28,0,214.8628677
P_B7a,3500013,5373095,0.00161,0.0051,0.0023,6,139.104,440.64,198.72,1,214.8628677
B14,3497690,5371190,0.00133,0.002,0.0019,7,114.912,172.8,164.16,0,210.6082979
ASG A6,3498070,5372630,0.00119,0.0019,0.0017,7,102.816,164.16,146.88,0,210.6082979
B15,3496480,5371040,0.000091,0.00014,0.00013,8,7.8624,12.096,11.232,0,14.43996919
B31,3502160,5373860,0.000105,0.00016,0.00015,8,9.072,13.824,12.96,0,14.43996919
P_B31_2,3502824,5374747,0.000105,0.00016,0.00015,8,9.072,13.824,12.96,1,14.43996919
P_B31_3,3503620,5375433,0.000105,0.00016,0.00015,8,9.072,13.824,12.96,1,14.43996919
B17,3496980,5372240,0.00245,0.0037,0.0035,9,211.68,319.68,302.4,0,262.4340992
B30,3502090,5373050,0.00203,0.0039,0.0029,9,175.392,336.96,250.56,0,262.4340992
P_Tue,3504220,5374830,0.00203,0.0039,0.0029,9,175.392,336.96,250.56,1,262.4340992
P_B9,3502986,5374484,0.00189,0.0029,0.0027,9,163.296,250.56,233.28,1,262.4340992
P_B9_2,3504083,5373847,0.00189,0.0029,0.0027,9,163.296,250.56,233.28,1,262.4340992
B11,3501590,5372600,0.00441,0.00087,0.0063,10,381.024,751.68,544.32,0,572.492709
SG5,3501440,5373410,0.00476,0.0089,0.0068,10,411.264,768.96,587.52,0,572.492709
Gehrnfeld,3499705,5372587,0.00448,0.0088,0.0064,10,387.072,760.32,552.96,0,572.492709
B7a,3500260,5373490,0.00161,0.0051,0.0023,11,139.104,440.64,198.72,0,482.9919564
ASG A2,3498170,5372930,0.00175,0.0045,0.0025,11,151.2,388.8,216,0,482.9919564
TBA G,3501300,5373340,0.0035,0.0052,0.005,11,302.4,449.28,432,0,482.9919564
P_TBA_G,3500790,5373502,0.0035,0.0052,0.005,11,302.4,449.28,432,1,482.9919564
PBW8,3501740,5373340,0.00126,0.0033,0.0018,12,108.864,285.12,155.52,0,74.44048894
B8,3501320,5373780,0.00084,0.0013,0.0012,14,72.576,112.32,103.68,0,93.69080012
SG19,3500260,5372670,0.000665,0.00095,0.0008075,13,57.456,82.08,69.768,0,74.44048894
7420-384,3507235.8,5376742.75,0.0006916,0.001482,0.000988,14,59.75424,128.0448,85.3632,0,93.69080012
B23,3497990,5373250,0.00098,0.0022,0.0014,15,84.672,190.08,120.96,0,327.0130244
B16,3496310,5371600,0.00112,0.0017,0.0016,15,96.768,146.88,138.24,0,327.0130244
B32,3500960,5373790,0.0000119,0.000023,0.000017,16,1.02816,1.9872,1.4688,0,1.7506725
P_h1,3502882,5374298,0.0001,0.009,0.001,17,8.64,777.6,86.4,1,63.4340003
P_h2,3504257,5373682,0.0001,0.009,0.001,17,8.64,777.6,86.4,1,63.4340003
P_h3,3504591,5375225,0.0001,0.009,0.001,17,8.64,777.6,86.4,1,63.4340003
P_h4,3506427,5375797,0.0001,0.009,0.0002,19,8.64,777.6,17.28,1,16.60991822
P_a1,3497318,5371803,0.00001,0.005,0.0001,18,0.864,432,8.64,1,9.393331287
P_B18-2,3496100,5372100,0.0000322,0.000066,0.000046,1,2.78208,5.7024,3.9744,1,6.889510242
P_384,3507828,5377370,0.0006916,0.001482,0.000988,14,59.75424,128.0448,85.3632,1,95.58347983
P_591,3508115,5377407,0.0021,0.0045,0.0035,5,181.44,388.8,259.2,1,336.9720536
P_ASG_A2,3498853,5373131,0.00175,0.0045,0.0025,11,151.2,388.8,216,1,482.9919564
